,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
3160,390352.864,Flight3_cam1-001-000128-0,-3097578.6963114925,3483445.8182549463,332.9588623046875,NkuluEP,2020-01-16,2020-01-16 14:25:52.864,14:25:52,52.441189333333334,33.015881066666665,21.973924355555557,0.0,3.9,0.84,19.41529733333333,18.675297333333333,1528169.2688674221,1449665.28473208
3161,390354.999,Flight3_cam1-001-000129-0,-3097560.768366452,3483439.2052747244,332.9158630371094,NkuluEP,2020-01-16,2020-01-16 14:25:54.999,14:25:54,52.440833500000004,33.01591665,21.973847258333333,0.0,3.9,0.84,19.415208375,18.675208374999997,1528163.6448355957,1449666.8348114674
3162,390356.868,Flight3_cam1-001-000130-0,-3097545.62030821,3483433.43438611,332.92822265625,NkuluEP,2020-01-16,2020-01-16 14:25:56.868,14:25:56,52.440522,33.0159478,21.973779766666667,0.0,3.9,0.84,19.4151305,18.675130499999998,1528158.7215028165,1449668.19176621
3163,390359.537,Flight3_cam1-001-000131-0,-3097523.228280894,3483425.143210035,332.99591064453125,NkuluEP,2020-01-16,2020-01-16 14:25:59.537,14:25:59,52.44007716666667,33.01599228333333,21.973683386111112,0.0,3.9,0.84,19.415019291666667,18.675019291666665,1528151.690804482,1449670.1295469524
3164,390360.872,Flight3_cam1-001-000132-0,-3097511.9639515104,3483421.1098329616,333.0074462890625,NkuluEP,2020-01-16,2020-01-16 14:26:00.872,14:26:00,52.439854666666676,33.01601453333333,21.97363517777778,0.0,3.9,0.84,19.41496366666667,18.674963666666667,1528148.1741382112,1449671.09880034
3165,390362.874,Flight3_cam1-001-000133-0,-3097495.5800119154,3483415.0368844583,333.055419921875,NkuluEP,2020-01-16,2020-01-16 14:26:02.874,14:26:02,52.439521,33.0160479,21.973562883333333,0.0,3.9,0.84,19.41488025,18.674880249999998,1528142.9004559084,1449672.552317405
3166,390365.009,Flight3_cam1-001-000134-0,-3097477.638990194,3483408.442380903,333.0856018066406,NkuluEP,2020-01-16,2020-01-16 14:26:05.009,14:26:05,52.43916516666667,33.01608348333333,21.97348578611111,0.0,3.9,0.84,19.414791291666667,18.674791291666665,1528137.276424082,1449674.1023967925
3167,390367.545,Flight3_cam1-001-000135-0,-3097456.3517961847,3483400.701325599,333.07403564453125,NkuluEP,2020-01-16,2020-01-16 14:26:07.545,14:26:07,52.438742500000004,33.01612575,21.973394208333335,0.0,3.9,0.84,19.414685625,18.674685625,1528130.5960752708,1449675.9436152123
3168,390368.88,Flight3_cam1-001-000136-0,-3097445.053771475,3483396.512994964,333.068115234375,NkuluEP,2020-01-16,2020-01-16 14:26:08.880,14:26:08,52.438520000000004,33.016148,21.973346,0.0,3.9,0.84,19.41463,18.67463,1528127.079409,1449676.9128685999
3169,390370.882,Flight3_cam1-001-000137-0,-3097428.473745553,3483390.418942577,333.0633239746094,NkuluEP,2020-01-16,2020-01-16 14:26:10.882,14:26:10,52.43818633333334,33.016181366666665,21.973273705555556,0.0,3.9,0.84,19.414546583333333,18.674546583333335,1528121.8057266972,1449678.366385665
3170,390372.884,Flight3_cam1-001-000138-0,-3097411.791562204,3483384.32494673,333.0375061035156,NkuluEP,2020-01-16,2020-01-16 14:26:12.884,14:26:12,52.437852666666664,33.016214733333335,21.97320141111111,0.0,3.9,0.84,19.414463166666664,18.674463166666666,1528116.5320443944,1449679.81990273
3171,390375.019,Flight3_cam1-001-000139-0,-3097393.7816514336,3483377.813498092,332.9745178222656,NkuluEP,2020-01-16,2020-01-16 14:26:15.019,14:26:15,52.43749683333334,33.016250316666664,21.97312431388889,0.0,3.9,0.84,19.414374208333335,18.674374208333333,1528110.9080125683,1449681.3699821173
3172,390377.555,Flight3_cam1-001-000140-0,-3097372.6890943563,3483369.987987131,332.8736877441406,NkuluEP,2020-01-16,2020-01-16 14:26:17.555,14:26:17,52.43707416666667,33.01629258333333,21.97303273611111,0.0,3.9,0.84,19.414268541666665,18.674268541666667,1528104.227663757,1449683.2112005374
3173,390378.89,Flight3_cam1-001-000141-0,-3097361.3874048786,3483365.930676494,332.8195495605469,NkuluEP,2020-01-16,2020-01-16 14:26:18.890,14:26:18,52.43685166666667,33.01631483333333,21.972984527777776,0.0,3.9,0.84,19.414212916666667,18.674212916666665,1528100.710997486,1449684.180453925
3174,390380.892,Flight3_cam1-001-000142-0,-3097344.708640162,3483359.9226529417,332.79559326171875,NkuluEP,2020-01-16,2020-01-16 14:26:20.892,14:26:20,52.43651800000001,33.0163482,21.972912233333332,0.0,3.9,0.84,19.4141295,18.6741295,1528095.4373151835,1449685.6339709898
3175,390382.894,Flight3_cam1-001-000143-0,-3097328.229686648,3483353.6724185697,332.7525634765625,NkuluEP,2020-01-16,2020-01-16 14:26:22.894,14:26:22,52.43618433333334,33.01638156666667,21.97283993888889,0.0,3.9,0.84,19.414046083333336,18.674046083333334,1528090.1636328807,1449687.087488055
3176,390385.563,Flight3_cam1-001-000144-0,-3097305.870439661,3483345.4062950644,332.61834716796875,NkuluEP,2020-01-16,2020-01-16 14:26:25.563,14:26:25,52.4357395,33.01642605,21.97274355833333,0.0,3.9,0.84,19.413934875,18.673934874999997,1528083.1329345459,1449689.0252687975
