,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
605,200029.579,cam1-002-000052-0,7299670.281033341,375262.79260387714,376.1893615722656,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:49.579,09:33:49,61.87245611111111,25.638263166666665,17.778188597222222,0.0,2.8,0.52,15.178188597222222,14.203826316666667,1409289.042094976,1284173.889433895
606,200032.515,cam1-002-000053-0,7299678.388364131,375293.2078669488,376.3105163574219,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:52.515,09:33:52,61.87082499999999,25.638752500000002,17.778229375000002,0.0,2.8,0.52,15.178229375,14.203875250000001,1409245.5585868624,1284178.099672575
607,200035.719,cam1-002-000054-0,7299686.783041403,375324.773992489,376.2334289550781,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:55.719,09:33:55,61.86904499999999,25.6392865,17.778273875,0.0,2.8,0.52,15.178273875,14.20392865,1409198.1058756923,1284182.694224595
608,200038.521,cam1-002-000055-0,7299694.254912535,375351.608825255,376.1310119628906,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:58.521,09:33:58,61.86748833333333,25.6397535,17.778312791666668,0.0,2.8,0.52,15.178312791666666,14.20397535,1409156.6069691074,1284186.712306605
609,200041.591,cam1-002-000056-0,7299703.638007626,375384.8185025318,376.1322021484375,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:01.591,09:34:01,61.86578277777779,25.640265166666662,17.778355430555557,0.0,2.8,0.52,15.178355430555555,14.204026516666667,1409111.138859466,1284191.114701955
610,200044.527,cam1-002-000057-0,7299713.609976597,375415.0887152336,375.9780578613281,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:04.527,09:34:04,61.864151666666665,25.6407545,17.778396208333334,0.0,2.8,0.52,15.178396208333334,14.20407545,1409067.6553513524,1284195.3249406351
611,200047.597,cam1-002-000058-0,7299722.942868662,375438.7684775344,375.9742736816406,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:07.597,09:34:07,61.862446111111105,25.641266166666668,17.778438847222223,0.0,2.8,0.52,15.178438847222223,14.204126616666667,1409022.1872417107,1284199.727335985
612,200050.533,cam1-002-000059-0,7299728.298551577,375459.8665286616,376.0238037109375,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:10.533,09:34:10,61.860815,25.6417555,17.778479625,0.0,2.8,0.52,15.178479625,14.20417555,1408978.7037335976,1284203.937574665
613,200053.603,cam1-002-000060-0,7299731.053105427,375483.2281174823,376.1110534667969,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:13.603,09:34:13,61.85910944444444,25.642267166666667,17.77852226388889,0.0,2.8,0.52,15.178522263888889,14.204226716666668,1408933.2356239557,1284208.339970015
614,200056.539,cam1-002-000061-0,7299733.54806065,375507.6152818801,376.11627197265625,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:16.539,09:34:16,61.85747833333334,25.642756499999997,17.77856304166667,0.0,2.8,0.52,15.178563041666667,14.20427565,1408889.7521158427,1284212.550208695
615,200059.609,cam1-002-000062-0,7299735.265601605,375535.0169883575,376.1661071777344,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:19.609,09:34:19,61.85577277777778,25.643268166666665,17.778605680555557,0.0,2.8,0.52,15.178605680555556,14.204326816666667,1408844.284006201,1284216.952604045
616,200062.545,cam1-002-000063-0,7299736.686315938,375561.4619281716,376.2064514160156,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:22.545,09:34:22,61.854141666666656,25.643757500000003,17.778646458333334,0.0,2.8,0.52,15.178646458333333,14.20437575,1408800.8004980874,1284221.162842725
617,200065.615,cam1-002-000064-0,7299738.521127572,375590.1668623786,376.2310180664063,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:25.615,09:34:25,61.85243611111112,25.644269166666664,17.778689097222223,0.0,2.8,0.52,15.178689097222222,14.204426916666666,1408755.332388446,1284225.565238075
618,200068.551,cam1-002-000065-0,7299740.441382359,375617.9461087737,376.30767822265625,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:28.551,09:34:28,61.850804999999994,25.644758500000002,17.778729875,0.0,2.8,0.52,15.178729875,14.20447585,1408711.8488803324,1284229.775476755
619,200071.621,cam1-002-000066-0,7299742.524139073,375646.5312457192,376.3193664550781,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:31.621,09:34:31,61.849099444444434,25.64527016666667,17.77877251388889,0.0,2.8,0.52,15.17877251388889,14.204527016666667,1408666.3807706907,1284234.177872105
620,200074.557,cam1-002-000067-0,7299739.528398968,375671.03036177857,376.53369140625,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:34.557,09:34:34,61.84746833333333,25.6457595,17.778813291666665,0.0,2.8,0.52,15.178813291666666,14.20457595,1408622.8972625774,1284238.388110785
621,200078.561,cam1-002-000068-0,7299709.261156146,375676.5120130288,376.35552978515625,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:38.561,09:34:38,61.845243888888895,25.64642683333333,17.778868902777777,0.0,2.8,0.52,15.178868902777777,14.204642683333333,1408563.5961840744,1284244.129866805
622,200080.563,cam1-002-000069-0,7299689.94802233,375675.1241408307,376.5431823730469,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:40.563,09:34:40,61.84413166666667,25.6467605,17.778896708333335,0.0,2.8,0.52,15.178896708333333,14.20467605,1408533.9456448227,1284247.000744815
623,200083.633,cam1-002-000070-0,7299658.648844358,375673.1454520373,376.6790466308594,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:43.633,09:34:43,61.84242611111111,25.647272166666667,17.778939347222224,0.0,2.8,0.52,15.178939347222222,14.204727216666667,1408488.4775351807,1284251.403140165
624,200086.569,cam1-002-000071-0,7299629.165749203,375671.4054989808,376.8091125488281,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:46.569,09:34:46,61.84079500000001,25.647761499999998,17.778980125,0.0,2.8,0.52,15.178980124999999,14.20477615,1408444.9940270677,1284255.613378845
625,200089.505,cam1-002-000072-0,7299600.061718175,375670.07605909,376.6778869628906,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:49.505,09:34:49,61.83916388888888,25.648250833333332,17.779020902777777,0.0,2.8,0.52,15.179020902777777,14.204825083333334,1408401.5105189541,1284259.823617525
626,200092.575,cam1-002-000073-0,7299574.919160287,375670.2132184235,376.3864440917969,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:52.575,09:34:52,61.83745833333333,25.6487625,17.779063541666666,0.0,2.8,0.52,15.179063541666666,14.20487625,1408356.0424093124,1284264.226012875
627,200095.511,cam1-002-000074-0,7299552.379747746,375670.6190270602,376.3542175292969,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:55.511,09:34:55,61.83582722222222,25.64925183333333,17.779104319444446,0.0,2.8,0.52,15.179104319444445,14.204925183333334,1408312.5589011991,1284268.436251555
628,200098.581,cam1-002-000075-0,7299526.357044282,375670.34484015993,376.3140563964844,BuffaloCamp100m,2020-01-21,2020-01-21 09:34:58.581,09:34:58,61.83412166666666,25.6497635,17.779146958333335,0.0,2.8,0.52,15.179146958333334,14.20497635,1408267.0907915574,1284272.838646905
629,200101.517,cam1-002-000076-0,7299500.149006014,375670.3284277939,376.3190307617188,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:01.517,09:35:01,61.83249055555556,25.650252833333333,17.779187736111112,0.0,2.8,0.52,15.17918773611111,14.205025283333333,1408223.6072834444,1284277.048885585
630,200104.587,cam1-002-000077-0,7299472.213880377,375671.4127904373,376.2518005371094,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:04.587,09:35:04,61.830785,25.6507645,17.779230375,0.0,2.8,0.52,15.179230375,14.20507645,1408178.1391738025,1284281.451280935
631,200107.523,cam1-002-000078-0,7299448.155406298,375673.053373298,376.24066162109375,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:07.523,09:35:07,61.8291538888889,25.65125383333333,17.779271152777778,0.0,2.8,0.52,15.179271152777778,14.205125383333334,1408134.6556656894,1284285.661519615
632,200110.593,cam1-002-000079-0,7299423.406668074,375674.5685794063,376.0791015625,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:10.593,09:35:10,61.82744833333334,25.6517655,17.779313791666667,0.0,2.8,0.52,15.179313791666667,14.205176550000001,1408089.1875560477,1284290.063914965
633,200113.529,cam1-002-000080-0,7299398.44863636,375675.3156763495,375.9609069824219,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:13.529,09:35:13,61.82581722222222,25.652254833333334,17.779354569444443,0.0,2.8,0.52,15.179354569444444,14.205225483333333,1408045.7040479342,1284294.2741536452
634,200116.599,cam1-002-000081-0,7299371.173489115,375676.0217586776,375.9151306152344,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:16.599,09:35:16,61.824111666666674,25.6527665,17.779397208333332,0.0,2.8,0.52,15.179397208333333,14.20527665,1408000.2359382927,1284298.676548995
635,200119.535,cam1-002-000082-0,7299343.666943273,375675.9482967565,375.9442138671875,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:19.535,09:35:19,61.82248055555555,25.653255833333333,17.779437986111112,0.0,2.8,0.52,15.179437986111111,14.205325583333334,1407956.7524301792,1284302.886787675
636,200122.605,cam1-002-000083-0,7299315.681579434,375675.74821607553,375.8674621582031,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:22.605,09:35:22,61.820775,25.6537675,17.779480625,0.0,2.8,0.52,15.179480625,14.205376750000001,1407911.2843205375,1284307.289183025
637,200125.541,cam1-002-000084-0,7299291.294969763,375676.1309138087,375.8569030761719,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:25.541,09:35:25,61.81914388888889,25.65425683333333,17.779521402777778,0.0,2.8,0.52,15.179521402777777,14.205425683333333,1407867.8008124242,1284311.499421705
638,200128.611,cam1-002-000085-0,7299266.295657113,375676.6925208292,375.9307861328125,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:28.611,09:35:28,61.81743833333333,25.6547685,17.779564041666667,0.0,2.8,0.52,15.179564041666666,14.20547685,1407822.3327027825,1284315.901817055
639,200131.547,cam1-002-000086-0,7299243.274804426,375676.87672047,375.8070373535156,BuffaloCamp100m,2020-01-21,2020-01-21 09:35:31.547,09:35:31,61.815807222222226,25.65525783333333,17.779604819444444,0.0,2.8,0.52,15.179604819444444,14.205525783333334,1407778.8491946694,1284320.112055735
