Station,Date,Time,Tdry_C,Max_Tdry_C,Min_Tdry_C,Rhum_Perc,Dewpoint_C,Rain_mm,WSpd_kmh,Wind_Degrees,Wind_Direction,Max WSpd km/h,Min_WSpd_kmh,Leaf_Wet_Perc,Srad_mJ,Sun_Hours,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,Battery,Data_type,Site
Pretoriaskop,1/22/2020,16:00,30.5,0,0,45,17.22,0,7.92,45,NE,10.8,7.92,0,2.5,1,0.54,14.68,14.41,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,17:00,28.1,0,0,54,17.92,0,6.84,68,ENE,9.36,6.84,0,2.1,1,0.42,15.3,14.97,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,18:00,24.2,0,0,66,17.45,0,5.04,68,ENE,6.84,5.04,0,1.7,0,0.3,14.88,14.44,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,19:00,22.7,0,0,73,17.61,0.1,3.96,23,NNE,5.4,3.96,0,1.4,0,0.23,15.03,14.55,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,20:00,22.9,0,0,72,17.58,0,2.88,315,NW,3.96,2.88,0,0,0,0,15,14.53,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,21:00,22.1,0,0,75,17.46,0,2.16,315,NW,2.52,2.16,0,0,0,0,14.89,14.4,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,22:00,21.4,0,0,78,17.4,0,1.08,90,E,1.44,1.08,0,0,0,0,14.84,14.34,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,23:00,20.2,0,0,85,17.6,0,2.88,90,E,3.96,2.88,0,0,0,0,15.01,14.49,6.9,ForecastHistory,Hlangwine
Lower Sabie,1/24/2020,0:00,22.12,0,0,97,21.62,0,0.36,161,SSE,1.8,0.36,100,3.9,1,0.73,19.02,17.68,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,1:00,21.69,0,0,96.8,21.16,0,0.36,245,WSW,2.27,0.36,0,3.9,1,0.72,18.52,17.18,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,2:00,21.46,0,0,97.7,21.08,0,0.11,250,WSW,0.9,0.11,0,3.9,1,0.73,18.43,17.09,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,3:00,21.6,0,0,98,21.27,0,0.11,243,WSW,1.26,0.11,100,3.9,1,0.73,18.64,17.29,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,4:00,21.47,0,0,97.7,21.09,0,0,228,SW,0.11,0,0,3.9,1,0.73,18.44,17.1,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,5:00,21.49,0,0,97.5,21.08,0,0.07,228,SW,0.83,0.07,0,3.9,1,0.73,18.43,17.09,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,6:00,21.84,0,0,97,21.34,0.25,0.58,205,SSW,2.09,0.58,100,3.9,1,0.72,18.71,17.37,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,7:00,21.94,0,0,97.6,21.54,0.25,0.65,185,S,2.99,0.65,100,3.9,1,0.72,18.93,17.59,3.9,Logger,Makhohlola
Lower Sabie,1/24/2020,8:00,22.68,0,0,97.6,22.28,0,0.58,212,SSW,2.16,0.58,100,3.9,1,0.73,19.75,18.42,3.91,Logger,Makhohlola
Lower Sabie,1/24/2020,9:00,23.62,0,0,94.9,22.75,0,1.01,194,SSW,2.92,1.01,100,3.9,0.98,0.74,20.3,18.99,3.92,Logger,Makhohlola
Lower Sabie,1/24/2020,10:00,24.11,0,0,93.1,22.92,0.51,1.04,153,SSE,2.99,1.04,100,3.9,0.98,0.74,20.5,19.2,3.92,Logger,Makhohlola
Lower Sabie,1/24/2020,11:00,26.39,0,0,83.7,23.41,0,1.84,125,SE,5.62,1.84,100,3.9,0.92,0.76,21.07,19.85,3.93,Logger,Makhohlola
Lower Sabie,1/24/2020,12:00,28.62,0,0,75.4,23.84,0,2.77,153,SSE,6.26,2.77,100,3.9,1,0.78,21.59,20.46,3.96,Logger,Makhohlola
Lower Sabie,1/24/2020,13:00,29.78,0,0,69.7,23.64,0,2.48,131,SE,5.72,2.48,0,3.9,0.95,0.8,21.35,20.27,4.01,Logger,Makhohlola
Lower Sabie,1/24/2020,14:00,29.75,0,0,67.5,23.08,0,2.56,151,SSE,6.01,2.56,0,3.9,1,0.8,20.68,19.59,4.01,Logger,Makhohlola
Lower Sabie,1/24/2020,15:00,28.4,0,0,72.7,23.02,0,3.1,146,SE,6.01,3.1,0,3.9,1,0.78,20.61,19.47,4.03,Logger,Makhohlola
Lower Sabie,1/24/2020,16:00,28.94,0,0,70.8,23.1,0,4.43,125,SE,7.74,4.43,0,3.9,0.97,0.77,20.7,19.58,4.03,Logger,Makhohlola
Lower Sabie,1/24/2020,17:00,27.83,0,0,73.4,22.63,0,3.85,145,SE,7.99,3.85,0,3.9,0.93,0.76,20.16,18.99,4.01,Logger,Makhohlola
Lower Sabie,1/24/2020,18:00,26.44,0,0,80.4,22.79,0,1.26,143,SE,4.28,1.26,0,3.9,0.93,0.77,20.34,19.12,4,Logger,Makhohlola
Lower Sabie,1/24/2020,19:00,25.34,0,0,84.2,22.48,0,0.43,144,SE,1.73,0.43,0,3.9,0.97,0.77,19.98,18.73,3.99,Logger,Makhohlola
Lower Sabie,1/24/2020,20:00,24.37,0,0,87.5,22.16,0,0.97,156,SSE,3.28,0.97,0,3.9,0.97,0.75,19.62,18.34,3.98,Logger,Makhohlola
Lower Sabie,1/24/2020,21:00,24.18,0,0,86.3,21.74,0,1.66,164,SSE,4.72,1.66,0,3.9,0.93,0.73,19.15,17.87,3.97,Logger,Makhohlola
Lower Sabie,1/24/2020,22:00,23.85,0,0,86.2,21.4,0,0.94,169,S,2.56,0.94,0,3.9,0.93,0.74,18.78,17.49,3.96,Logger,Makhohlola
Lower Sabie,1/24/2020,23:00,22.5,0,0,97,22,0,2.16,90,E,2.52,2.16,0,0,0,0,19.44,18.1,6.9,ForecastHistory,Makhohlola
Shingwedzi,12/3/2020,0:00,22.17,22.35,22.01,76.9,17.93,0,4.14,137,SE,6.8,2.59,0,3.58,1,0.62,15.31,14.26,4.1,Logger,Roan Camp
Shingwedzi,12/3/2020,1:00,21.58,21.96,21.35,79.5,17.88,0,4.54,135,SE,7.27,3.2,0,3.58,1,0.61,15.27,14.21,4.1,Logger,Roan Camp
Shingwedzi,12/3/2020,2:00,21.29,21.36,21.27,79.4,17.58,0,4.43,130,SE,8.35,3.67,0,3.57,1,0.6,15,13.95,4.09,Logger,Roan Camp
Shingwedzi,12/3/2020,3:00,21.16,21.26,21.1,79.2,17.41,0,3.49,132,SE,6.16,2.45,0,3.56,1,0.61,14.85,13.8,4.09,Logger,Roan Camp
Shingwedzi,12/3/2020,4:00,21.03,21.09,20.97,79.5,17.35,0,2.59,136,SE,5.72,1.69,0,3.54,1,0.61,14.79,13.74,4.09,Logger,Roan Camp
Shingwedzi,12/3/2020,5:00,20.97,21.04,20.93,79.9,17.37,0,2.92,137,SE,6.16,1.84,0,3.53,1,0.61,14.81,13.76,4.09,Logger,Roan Camp
Shingwedzi,12/3/2020,6:00,21.27,21.41,21.07,78.8,17.44,0,3.2,132,SE,5.36,2.2,0,3.54,1,0.61,14.87,13.83,4.1,Logger,Roan Camp
Shingwedzi,12/3/2020,7:00,21.71,21.97,21.4,76.9,17.48,0,3.2,133,SE,5.83,2.23,0,3.57,1,0.62,14.91,13.87,4.1,Logger,Roan Camp
